"name","year","Border","Climate & Environment","Economy","Gun","Immigration","Law & Crime","War & Military"
"Ronald Reagan",1982,11.1111111111111,22.2222222222222,11.1111111111111,0,0,0,55.5555555555556
"Ronald Reagan",1983,0,0,20,0,0,0,80
"Ronald Reagan",1984,3.10077519379845,3.10077519379845,0,0,0,3.87596899224806,89.922480620155
"Ronald Reagan",1985,3.33333333333333,0,16.6666666666667,23.3333333333333,0,3.33333333333333,53.3333333333333
"Ronald Reagan",1986,0,0,0,0,0,66.6666666666667,33.3333333333333
"Ronald Reagan",1987,0,48.8372093023256,6.97674418604651,0,0,11.6279069767442,32.5581395348837
"Ronald Reagan",1988,0,57.6923076923077,11.5384615384615,0,0,0,30.7692307692308
"Rutherford B Hayes",1877,0,0,0,0,0,0,100
"Rutherford B Hayes",1878,2.56410256410256,12.8205128205128,8.97435897435897,1.28205128205128,0,0,74.3589743589744
"Rutherford B Hayes",1879,11.7647058823529,5.88235294117647,5.88235294117647,0,0,5.88235294117647,70.5882352941177
"Rutherford B Hayes",1880,0,0,0,25,0,0,75
"Theodore Roosevelt",1901,0,15.3846153846154,30.7692307692308,0,0,0,53.8461538461538
"Theodore Roosevelt",1902,15.3846153846154,15.3846153846154,7.69230769230769,0,0,7.69230769230769,53.8461538461538
"Theodore Roosevelt",1903,0,6.25,50,0,0,0,43.75
"Theodore Roosevelt",1904,37.8378378378378,5.40540540540541,13.5135135135135,0,13.5135135135135,8.10810810810811,21.6216216216216
"Theodore Roosevelt",1905,50,0,0,0,0,0,50
"Theodore Roosevelt",1906,3.57142857142857,7.14285714285714,7.14285714285714,7.14285714285714,0,17.8571428571429,57.1428571428571
"Theodore Roosevelt",1907,10.5263157894737,10.5263157894737,13.1578947368421,0,0,2.63157894736842,63.1578947368421
"Theodore Roosevelt",1908,3.125,3.125,9.375,3.125,0,3.125,78.125
"Thomas Jefferson",1801,0,0,37.5,0,0,0,62.5
"Thomas Jefferson",1802,0,6.66666666666667,13.3333333333333,0,0,0,80
"Thomas Jefferson",1803,22.2222222222222,3.7037037037037,3.7037037037037,0,25.9259259259259,3.7037037037037,40.7407407407407
"Thomas Jefferson",1804,3.84615384615385,3.84615384615385,0,0,3.84615384615385,0,88.4615384615385
"Thomas Jefferson",1805,12.5,0,12.5,0,0,6.25,68.75
"Thomas Jefferson",1806,5,0,20,0,5,20,50
"Thomas Jefferson",1807,26.9230769230769,19.2307692307692,19.2307692307692,0,7.69230769230769,3.84615384615385,23.0769230769231
"Thomas Jefferson",1808,0,14.2857142857143,14.2857142857143,14.2857142857143,14.2857142857143,0,42.8571428571429
"Ulysses S Grant",1869,0,11.1111111111111,11.1111111111111,0,0,22.2222222222222,55.5555555555556
"Ulysses S Grant",1870,11.9047619047619,0,30.952380952381,0,2.38095238095238,28.5714285714286,26.1904761904762
"Ulysses S Grant",1871,0,10,30,0,3.33333333333333,0,56.6666666666667
"Ulysses S Grant",1872,0,33.3333333333333,0,0,0,0,66.6666666666667
"Ulysses S Grant",1873,2.94117647058824,26.4705882352941,29.4117647058824,0,0,0,41.1764705882353
"Ulysses S Grant",1874,4,50,24,0,4,2,16
"Ulysses S Grant",1875,0,0,34.7826086956522,0,4.34782608695652,8.69565217391304,52.1739130434783
"Ulysses S Grant",1876,5,5,10,5,0,25,50
"Warren G Harding",1921,0,6.45161290322581,0,0,0,0,93.5483870967742
"Warren G Harding",1922,22.2222222222222,11.1111111111111,33.3333333333333,0,0,0,33.3333333333333
"William H Taft",1909,2.77777777777778,11.1111111111111,8.33333333333333,5.55555555555556,0,5.55555555555556,66.6666666666667
"William H Taft",1910,0,5.88235294117647,35.2941176470588,0,5.88235294117647,23.5294117647059,29.4117647058824
"William H Taft",1911,0,0,18.1818181818182,0,0,0,81.8181818181818
"William H Taft",1912,4.76190476190476,4.76190476190476,4.76190476190476,4.76190476190476,0,0,80.9523809523809
"William J Clinton",1993,0,4.54545454545455,31.8181818181818,13.6363636363636,0,9.09090909090909,40.9090909090909
"William J Clinton",1994,0,4.76190476190476,42.8571428571429,0,0,19.047619047619,33.3333333333333
"William J Clinton",1995,0,15.7894736842105,5.26315789473684,0,0,21.0526315789474,57.8947368421053
"William J Clinton",1996,0,0,0,11.1111111111111,0,11.1111111111111,77.7777777777778
"William J Clinton",1997,13.3333333333333,13.3333333333333,6.66666666666667,0,13.3333333333333,6.66666666666667,46.6666666666667
