year,name,party,word_count,freq_dist_filtered
1800,John Adams,Federalist,1372,"{'Gentlemen': 5, 'I': 8, 'law': 5, 'public': 7, 'United': 7, 'States': 7, 'great': 6, 'present': 5, 'It': 5, 'nation': 5, 'may': 8, 'country': 6, 'commerce': 5, 'The': 6, 'u': 5, 'protection': 5}"
1801,Thomas Jefferson,Democratic-Republican,3224,"{'circumstance': 5, 'great': 6, 'nation': 6, 'I': 17, 'war': 6, 'year': 6, 'peace': 9, 'commerce': 5, 'increase': 5, 'The': 17, 'power': 7, 'time': 11, 'also': 7, 'number': 6, 'States': 8, 'vessel': 5, 'part': 5, 'u': 7, 'Legislature': 5, 'whether': 8, 'place': 5, 'force': 6, 'subject': 8, 'important': 5, 'may': 21, 'consideration': 7, 'every': 7, 'laid': 9, 'judge': 5, 'within': 6, 'far': 6, 'present': 5, 'expense': 8, 'Government': 6, 'public': 7, 'law': 10, 'purpose': 6, 'office': 5, 'statement': 5, 'first': 5, 'Executive': 6, 'shall': 7, 'necessary': 6, 'A': 5, 'much': 5}"
1802,Thomas Jefferson,Democratic-Republican,2199,"{'country': 8, 'circumstance': 6, 'year': 7, 'peace': 5, 'public': 6, 'great': 5, 'part': 9, 'duty': 6, 'vessel': 11, 'I': 5, 'navigation': 5, 'necessary': 7, 'The': 10, 'make': 5, 'one': 6, 'In': 6, 'within': 7, 'shall': 8, 'time': 5, 'debt': 9, 'expense': 5, 'may': 9, 'without': 5, 'tax': 6, 'employed': 6, 'estimate': 6}"
1803,Thomas Jefferson,Democratic-Republican,2277,"{'The': 11, 'United': 5, 'States': 7, 'last': 5, 'I': 5, 'public': 5, 'necessary': 6, 'interest': 11, 'nation': 9, 'friendly': 6, 'peace': 7, 'country': 10, 'foreign': 5, 'power': 5, 'within': 7, 'million': 9, 'acquisition': 5, 'friendship': 6, 'shall': 6, 'may': 6, 'u': 13, 'useful': 5, 'year': 7, 'sum': 5, 'debt': 8}"
1804,Thomas Jefferson,Democratic-Republican,2099,"{'The': 14, 'nation': 8, 'war': 7, 'last': 6, 'commerce': 5, 'part': 8, 'sea': 5, 'within': 7, 'law': 8, 'officer': 5, 'subject': 6, 'act': 5, 'u': 9, 'received': 5, 'force': 6, 'country': 10, 'peace': 6, 'I': 6, 'district': 6, 'mean': 5, 'may': 8, 'due': 5, 'good': 5, 'year': 10, 'whether': 7, 'interest': 6, 'necessary': 5, 'course': 5, 'shall': 5}"
1805,Thomas Jefferson,Democratic-Republican,2941,"{'The': 11, 'nation': 9, 'country': 13, 'may': 16, 'meeting': 5, 'every': 6, 'whole': 6, 'give': 6, 'public': 6, 'In': 9, 'state': 6, 'place': 5, 'time': 14, 'number': 8, 'year': 7, 'part': 7, 'I': 12, 'vessel': 9, 'authority': 6, 'commerce': 5, 'well': 8, 'last': 6, 'coast': 5, 'others': 5, 'sea': 9, 'u': 13, 'necessary': 6, 'force': 5, 'war': 6, 'interest': 5, 'former': 5, 'would': 8, 'made': 5, 'shall': 6, 'service': 10, 'land': 6, 'peace': 7, 'men': 8, 'million': 11}"
1806,Thomas Jefferson,Democratic-Republican,2866,"{'The': 18, 'United': 8, 'States': 11, 'would': 8, 'great': 6, 'moment': 5, 'foreign': 5, 'time': 11, 'I': 10, 'power': 6, 'could': 5, 'place': 5, 'negotiation': 6, 'course': 6, 'may': 17, 'u': 7, 'western': 5, 'Mississippi': 6, 'force': 8, 'long': 7, 'part': 6, 'nation': 5, 'shall': 11, 'mean': 5, 'present': 9, 'country': 12, 'defense': 5, 'private': 5, 'law': 9, 'necessary': 12, 'enterprise': 6, 'public': 13, 'peace': 7, 'war': 6, 'consideration': 5, 'river': 5, 'also': 7, 'year': 5, 'purpose': 6, 'interest': 7, 'million': 6, 'debt': 5}"
1807,Thomas Jefferson,Democratic-Republican,2392,"{'The': 13, 'States': 5, 'peace': 12, 'country': 5, 'made': 6, 'proceeding': 5, 'public': 6, 'may': 12, 'sea': 5, 'principle': 5, 'law': 7, 'nation': 7, 'instruction': 5, 'u': 10, 'could': 5, 'Government': 5, 'others': 5, 'one': 5, 'new': 5, 'last': 6, 'vessel': 6, 'harbor': 8, 'taken': 6, 'I': 9, 'armed': 5, 'shall': 14, 'part': 6, 'every': 5, 'would': 5, 'defense': 6, 'million': 5}"
1808,Thomas Jefferson,Democratic-Republican,2686,"{'The': 16, 'United': 8, 'States': 10, 'It': 5, 'would': 6, 'last': 10, 'belligerent': 5, 'nation': 5, 'right': 7, 'commerce': 7, 'I': 11, 'time': 7, 'suspension': 5, 'law': 9, 'measure': 7, 'power': 7, 'decree': 5, 'security': 5, 'every': 5, 'interest': 6, 'may': 7, 'necessary': 8, 'public': 5, 'u': 8, 'great': 5, 'shall': 5, 'present': 5, 'year': 5, 'million': 7}"
1809,James Madison,Democratic-Republican,1831,"{'I': 7, 'nation': 6, 'It': 5, 'British': 7, 'Government': 6, 'minister': 8, 'toward': 5, 'United': 10, 'States': 10, 'may': 9, 'time': 5, 'The': 10, 'made': 5, 'In': 5}"
1810,James Madison,Democratic-Republican,2446,"{'The': 20, 'foreign': 5, 'may': 9, 'act': 7, 'United': 11, 'States': 12, 'neutral': 5, 'commerce': 7, 'view': 7, 'within': 5, 'attention': 5, 'Government': 9, 'would': 11, 'effect': 6, 'law': 9, 'well': 6, 'made': 5, 'subject': 6, 'nation': 5, 'blockade': 5, 'order': 5, 'In': 5, 'consideration': 5, 'country': 5, 'I': 6, 'provision': 5, 'expense': 5, 'public': 7, 'year': 5}"
1811,James Madison,Democratic-Republican,2275,"{'In': 5, 'would': 6, 'I': 6, 'foreign': 8, 'time': 5, 'toward': 8, 'country': 6, 'national': 6, 'council': 5, 'measure': 6, 'commerce': 6, 'Government': 7, 'repeal': 5, 'order': 7, 'United': 14, 'States': 14, 'British': 9, 'made': 7, 'trade': 7, 'right': 6, 'The': 10, 'port': 5, 'may': 9, 'interest': 6}"
1812,James Madison,Democratic-Republican,3242,"{'attention': 5, 'In': 5, 'general': 5, 'favorable': 5, 'also': 5, 'war': 20, 'United': 6, 'States': 8, 'force': 8, 'view': 8, 'would': 9, 'Great': 5, 'Britain': 5, 'savage': 7, 'command': 8, 'part': 5, 'service': 8, 'regular': 5, 'act': 6, 'enemy': 13, 'The': 25, 'made': 7, 'peace': 5, 'British': 12, 'men': 5, 'could': 7, 'nation': 9, 'without': 10, 'It': 9, 'militia': 6, 'time': 5, 'Our': 5, 'provision': 7, 'subject': 6, 'public': 5, 'ship': 6, 'Government': 5, 'last': 7}"
1813,James Madison,Democratic-Republican,3258,"{'In': 7, 'would': 8, 'could': 5, 'It': 7, 'United': 15, 'States': 17, 'time': 5, 'British': 18, 'Government': 9, 'right': 6, 'honorable': 5, 'The': 16, 'power': 9, 'u': 8, 'subject': 5, 'nation': 8, 'one': 6, 'best': 5, 'success': 6, 'arm': 6, 'public': 5, 'war': 29, 'commander': 5, 'enemy': 16, 'also': 5, 'consequence': 5, 'command': 5, 'force': 6, 'officer': 7, 'well': 5, 'country': 8, 'much': 5, 'may': 5, 'savage': 8, 'militia': 5, 'service': 6, 'among': 5, 'necessary': 6, 'number': 7, 'prisoner': 8, 'law': 6, 'Great': 6, 'Britain': 6, 'national': 5}"
1814,James Madison,Democratic-Republican,2114,"{'war': 10, 'may': 5, 'country': 7, 'great': 6, 'enemy': 14, 'public': 6, 'In': 8, 'On': 6, 'force': 8, 'also': 6, 'The': 7, 'militia': 5, 'every': 5}"
1815,James Madison,Democratic-Republican,3154,"{'present': 8, 'war': 10, 'United': 9, 'States': 11, 'The': 14, 'service': 8, 'force': 5, 'officer': 5, 'peace': 12, 'In': 9, 'part': 7, 'arrangement': 5, 'portion': 5, 'It': 5, 'subject': 7, 'country': 10, 'nation': 5, 'may': 9, 'liberal': 5, 'interest': 7, 'measure': 6, 'resource': 6, 'defense': 6, 'well': 6, 'frontier': 5, 'tribe': 5, 'also': 7, 'mean': 8, 'military': 6, 'establishment': 12, 'public': 19, 'st': 6, 'upon': 9, 'consideration': 6, 'every': 7, 'general': 5, 'authority': 6, 'Government': 6, 'national': 13, 'great': 5, 'Treasury': 8, 'million': 13, 'note': 5, 'sum': 9, 'amount': 5, 'debt': 8, 'object': 5, 'Union': 5, 'political': 5}"
1816,James Madison,Democratic-Republican,3366,"{'present': 8, 'state': 6, 'country': 12, 'annual': 5, 'within': 7, 'And': 5, 'may': 13, 'year': 6, 'peace': 7, 'United': 12, 'States': 15, 'general': 5, 'among': 5, 'commerce': 5, 'nation': 13, 'navigation': 6, 'The': 29, 'establishment': 5, 'shall': 6, 'port': 10, 'law': 5, 'British': 8, 'subject': 7, 'regulation': 6, 'Government': 13, 'view': 6, 'I': 18, 'power': 6, 'public': 15, 'time': 6, 'war': 8, 'made': 8, 'also': 5, 'well': 7, 'justice': 6, 'national': 6, 'consideration': 5, 'Constitution': 7, 'provision': 5, 'great': 5, 'every': 5, 'Treasury': 10, 'debt': 5, 'sum': 6, 'million': 6}"
1817,James Monroe,Democratic-Republican,4427,"{'country': 9, 'The': 23, 'commerce': 9, 'revenue': 8, 'public': 22, 'Our': 5, 'case': 5, 'war': 5, 'nation': 8, 'important': 6, 'Government': 15, 'interest': 12, 'people': 5, 'view': 6, 'policy': 6, 'advantage': 6, 'duty': 8, 'I': 15, 'arrangement': 6, 'British': 5, 'force': 10, 'Great': 5, 'United': 17, 'States': 25, 'party': 11, 'shall': 8, 'Lake': 6, 'one': 5, 'It': 14, 'also': 7, 'purpose': 6, 'great': 11, 'state': 8, 'treaty': 7, 'several': 5, 'settlement': 5, 'right': 11, 'limit': 5, 'negotiation': 5, 'made': 15, 'colony': 7, 'port': 5, 'subject': 8, 'present': 8, 'improvement': 8, 'would': 8, 'equal': 5, 'A': 8, 'may': 25, 'proper': 9, 'along': 5, 'person': 6, 'authority': 5, 'every': 9, 'power': 8, 'In': 11, 'year': 10, 'State': 6, 'Mississippi': 7, 'value': 8, 'measure': 5, 'circumstance': 5, 'law': 5, 'within': 6, 'establishment': 5, 'consideration': 5, 'attention': 8, 'object': 5, 'Indian': 6, 'tribe': 10, 'Treasury': 6, 'support': 5, 'provision': 5, 'debt': 5, 'million': 14, 'estimated': 5, 'land': 15, 'whole': 7, 'annual': 6, 'part': 7, 'necessary': 6, 'extent': 5, 'among': 5, 'sale': 5}"
1818,James Monroe,Democratic-Republican,4377,"{'The': 24, 'duty': 5, 'present': 5, 'session': 5, 'commerce': 6, 'revenue': 7, 'nation': 6, 'country': 12, 'As': 5, 'important': 6, 'portion': 5, 'two': 6, 'authority': 10, 'minister': 6, 'United': 23, 'States': 25, 'last': 8, 'Government': 24, 'subject': 7, 'view': 6, 'object': 9, 'also': 5, 'might': 5, 'general': 9, 'every': 11, 'interest': 6, 'made': 11, 'concern': 5, 'I': 8, 'satisfaction': 6, 'state': 8, 'consideration': 7, 'great': 12, 'thought': 5, 'proper': 7, 'le': 6, 'It': 11, 'existing': 7, 'year': 10, 'relation': 8, 'Spain': 26, 'claim': 6, 'long': 6, 'Spanish': 7, 'respecting': 5, 'In': 11, 'progress': 5, 'within': 6, 'tribe': 11, 'Indians': 5, 'strong': 5, 'limit': 5, 'Florida': 5, 'law': 7, 'adventurer': 6, 'force': 10, 'conduct': 5, 'purpose': 8, 'combination': 7, 'measure': 6, 'savage': 16, 'war': 9, 'part': 5, 'act': 7, 'would': 8, 'power': 13, 'cession': 5, 'territory': 7, 'new': 5, 'post': 7, 'even': 5, 'course': 6, 'By': 7, 'State': 5, 'independent': 6}"
1819,James Monroe,Democratic-Republican,4711,"{'The': 24, 'public': 5, 'I': 10, 'In': 8, 'view': 11, 'since': 5, 'last': 8, 'state': 6, 'States': 32, 'affected': 5, 'however': 5, 'power': 9, 'year': 13, 'nation': 12, 'cause': 9, 'th': 8, 'treaty': 30, 'limit': 5, 'concluded': 6, 'United': 31, 'Spain': 31, 'ratified': 10, 'would': 14, 'His': 10, 'Catholic': 8, 'Majesty': 8, 'condition': 6, 'difference': 6, 'long': 8, 'two': 6, 'country': 7, 'subject': 5, 'loss': 7, 'Government': 30, 'party': 8, 'presumed': 5, 'made': 10, 'interest': 10, 'likewise': 5, 'great': 10, 'consideration': 7, 'circumstance': 5, 'article': 12, 'minister': 14, 'respecting': 6, 'It': 21, 'purpose': 8, 'within': 7, 'ratification': 9, 'part': 10, 'without': 6, 'territory': 5, 'received': 5, 'By': 6, 'also': 5, 'delay': 6, 'time': 7, 'important': 5, 'effect': 7, 'establishment': 5, 'recently': 5, 'instructed': 5, 'ship': 5, 'obtain': 5, 'explanation': 9, 'give': 6, 'due': 6, 'present': 7, 'act': 7, 'grant': 5, 'must': 6, 'course': 6, 'regard': 5, 'new': 5, 'manner': 8, 'measure': 5, 'strong': 6, 'proper': 6, 'may': 16, 'submitted': 5, 'whether': 6, 'advantage': 6, 'friendly': 7, 'law': 9, 'upon': 7, 'necessary': 5, 'war': 5, 'coast': 5, 'commerce': 6, 'British': 5, 'million': 5, 'price': 5}"
1820,James Monroe,Democratic-Republican,3441,"{'In': 9, 'view': 5, 'public': 9, 'I': 9, 'great': 19, 'every': 11, 'interest': 8, 'progress': 5, 'nation': 5, 'extent': 6, 'commerce': 5, 'change': 5, 'country': 6, 'would': 10, 'time': 5, 'made': 16, 'proper': 6, 'Government': 16, 'The': 19, 'several': 7, 'power': 12, 'war': 10, 'peace': 5, 'party': 5, 'amount': 7, 'effect': 5, 'It': 8, 'part': 11, 'without': 7, 'protection': 6, 'u': 7, 'new': 5, 'may': 9, 'duty': 5, 'Spain': 8, 'last': 8, 'United': 16, 'States': 16, 'By': 7, 'known': 5, 'colony': 5, 'act': 5, 'vessel': 6, 'law': 5, 'also': 6, 'coast': 7, 'work': 8}"
1821,James Monroe,Democratic-Republican,5823,"{'The': 27, 'progress': 5, 'since': 6, 'last': 17, 'session': 8, 'may': 18, 'expected': 6, 'Government': 21, 'power': 30, 'law': 26, 'formed': 5, 'great': 13, 'consideration': 7, 'purpose': 8, 'In': 14, 'execution': 5, 'object': 6, 'cause': 7, 'result': 7, 'due': 7, 'effect': 12, 'foreign': 11, 'I': 5, 'side': 5, 'right': 6, 'commercial': 5, 'condition': 13, 'party': 10, 'without': 9, 'especially': 6, 'whole': 8, 'view': 6, 'public': 10, 'necessary': 7, 'important': 8, 'duty': 17, 'place': 5, 'every': 18, 'subject': 8, 'thought': 6, 'By': 8, 'act': 11, 'March': 5, 'rd': 5, 'much': 5, 'several': 5, 'vessel': 25, 'manufacture': 15, 'production': 9, 'nation': 14, 'United': 34, 'States': 34, 'favor': 5, 'likewise': 7, 'made': 13, 'commerce': 9, 'basis': 5, 'presumed': 7, 'would': 24, 'allowed': 6, 'port': 16, 'granted': 5, 'article': 19, 'admitted': 7, 'part': 13, 'country': 15, 'first': 7, 'demand': 9, 'advantage': 6, 'This': 6, 'extent': 7, 'dominion': 6, 'colony': 9, 'could': 12, 'It': 21, 'extended': 5, 'trade': 7, 'greater': 5, 'supply': 7, 'case': 6, 'payment': 5, 'To': 6, 'present': 10, 'existing': 8, 'system': 8, 'year': 21, 'treaty': 13, 'however': 5, 'consequence': 5, 'France': 9, 'also': 7, 'two': 5, 'occurred': 5, 'construction': 9, 'th': 10, 'ceded': 5, 'revenue': 18, 'provided': 5, 'Spain': 11, 'As': 6, 'St': 9, 'circumstance': 5, 'Florida': 7, 'His': 5, 'therefore': 7, 'protection': 5, 'understood': 5, 'Provinces': 9, 'order': 6, 'given': 9, 'soon': 6, 'upon': 6, 'change': 5, 'day': 5, 'officer': 6, 'service': 6, 'force': 5, 'adequate': 5, 'appointed': 8, 'one': 7, 'district': 5, 'Union': 5, 'source': 5, 'increase': 5, 'Treasury': 7, 'quarter': 5, 'amount': 5, 'domestic': 6, 'fortification': 5}"
1822,James Monroe,Democratic-Republican,4734,"{'cause': 14, 'The': 18, 'operation': 9, 'law': 5, 'subject': 8, 'duty': 12, 'people': 11, 'system': 8, 'I': 25, 'whole': 6, 'view': 9, 'United': 19, 'States': 25, 'interest': 8, 'Union': 6, 'shall': 8, 'sentiment': 5, 'It': 14, 'proper': 11, 'however': 6, 'first': 9, 'respecting': 6, 'provision': 9, 'th': 10, 'last': 15, 'convention': 6, 'commerce': 8, 'purpose': 5, 'Executive': 5, 'given': 5, 'basis': 5, 'equal': 10, 'advantage': 5, 'act': 17, 'session': 11, 'vessel': 7, 'likewise': 7, 'West': 5, 'condition': 7, 'A': 10, 'well': 8, 'intercourse': 5, 'extent': 5, 'part': 5, 'construction': 5, 'necessary': 6, 'effect': 8, 'force': 6, 'may': 15, 'due': 6, 'time': 5, 'communicated': 5, 'object': 8, 'power': 16, 'country': 9, 'would': 7, 'This': 6, 'late': 6, 'party': 5, 'Government': 10, 'By': 6, 'secured': 5, 'right': 15, 'liberty': 5, 'Spain': 5, 'Territory': 5, 'made': 11, 'consideration': 6, 'Treasury': 8, 'million': 7, 'public': 8, 'amount': 5, 'military': 6, 'report': 7, 'progress': 6, 'several': 5, 'great': 22, 'every': 11, 'Department': 5, 'government': 5, 'war': 15, 'nation': 8, 'account': 5, 'peace': 5, 'road': 5, 'favor': 5, 'unsettled': 5}"
1823,James Monroe,Democratic-Republican,6382,"{'important': 9, 'subject': 9, 'attention': 5, 'present': 10, 'session': 11, 'I': 15, 'shall': 9, 'duty': 5, 'interest': 12, 'great': 17, 'importance': 7, 'every': 10, 'portion': 6, 'Union': 7, 'period': 6, 'condition': 7, 'greater': 6, 'public': 12, 'respective': 5, 'new': 8, 'proper': 8, 'view': 5, 'might': 8, 'necessary': 10, 'respect': 5, 'principle': 8, 'Government': 22, 'The': 40, 'power': 22, 'effect': 9, 'party': 6, 'policy': 6, 'much': 5, 'may': 16, 'best': 5, 'well': 5, 'state': 9, 'It': 25, 'national': 5, 'protection': 5, 'A': 11, 'relation': 7, 'negotiation': 6, 'thought': 5, 'progress': 6, 'improvement': 8, 'connected': 5, 'defense': 8, 'nation': 13, 'th': 15, 'article': 5, 'treaty': 6, 'United': 24, 'States': 34, 'submitted': 5, 'made': 22, 'report': 11, 'would': 18, 'proposal': 7, 'long': 5, 'act': 12, 'commerce': 5, 'manner': 5, 'object': 10, 'result': 5, 'year': 15, 'several': 10, 'war': 9, 'As': 5, 'minister': 12, 'appointed': 6, 'France': 5, 'At': 5, 'right': 7, 'In': 7, 'given': 5, 'future': 6, 'European': 5, 'last': 16, 'amount': 7, 'July': 5, 'commission': 6, 'Spain': 10, 'also': 5, 'three': 5, 'purpose': 12, 'naval': 5, 'force': 6, 'This': 6, 'first': 12, 'time': 5, 'consideration': 7, 'make': 7, 'Governments': 6, 'received': 6, 'officer': 12, 'balance': 5, 'Treasury': 6, 'million': 6, 'expenditure': 7, 'quarter': 7, 'debt': 5, 'part': 12, 'believed': 6, 'regularly': 5, 'account': 5, 'good': 5, 'post': 13, 'system': 11, 'service': 6, 'additional': 6, 'money': 6, 'appropriated': 6, 'country': 12, 'Department': 15, 'appropriation': 6, 'War': 5, 'militia': 5, 'many': 7, 'vessel': 6, 'island': 8, 'whether': 5, 'master': 7, 'within': 5}"
1824,James Monroe,Democratic-Republican,8418,"{'The': 49, 'view': 15, 'I': 14, 'present': 14, 'foreign': 7, 'public': 22, 'whole': 10, 'nation': 5, 'States': 35, 'gratifying': 6, 'Our': 13, 'vast': 7, 'territory': 9, 'within': 11, 'limit': 13, 'great': 30, 'without': 7, 'population': 7, 'every': 32, 'quarter': 5, 'system': 5, 'government': 6, 'difference': 6, 'cause': 19, 'might': 17, 'fail': 5, 'u': 11, 'effect': 18, 'one': 6, 'portion': 11, 'may': 27, 'felt': 5, 'part': 14, 'intercourse': 5, 'Union': 13, 'power': 27, 'Governments': 20, 'people': 7, 'fully': 5, 'adequate': 6, 'purpose': 7, 'instituted': 5, 'In': 19, 'circumstance': 6, 'state': 14, 'must': 7, 'relation': 18, 'friendly': 9, 'character': 5, 'certain': 7, 'revenue': 5, 'Government': 22, 'commerce': 16, 'fortification': 5, 'degree': 7, 'authorized': 5, 'appropriation': 9, 'progress': 6, 'made': 25, 'augmentation': 6, 'Navy': 5, 'For': 6, 'object': 25, 'importance': 8, 'subject': 11, 'others': 8, 'favorable': 5, 'still': 9, 'negotiation': 12, 'interest': 19, 'respective': 7, 'party': 19, 'It': 35, 'principle': 13, 'condition': 9, 'make': 7, 'A': 11, 'place': 7, 'footing': 5, 'remove': 5, 'far': 5, 'th': 13, 'convention': 9, 'concluded': 6, 'United': 20, 'France': 6, 'force': 10, 'year': 20, 'first': 5, 'event': 8, 'since': 12, 'many': 7, 'particularly': 6, 'claim': 6, 'indemnity': 5, 'late': 7, 'war': 29, 'provision': 5, 'day': 7, 'treaty': 17, 'yet': 8, 'hoped': 5, 'upon': 6, 'last': 21, 'session': 7, 'With': 9, 'commercial': 5, 'British': 5, 'Europe': 6, 'That': 7, 'trade': 9, 'An': 5, 'result': 6, 'act': 16, 'likewise': 7, 'advantage': 6, 'From': 5, 'report': 6, 'received': 10, 'good': 6, 'settled': 5, 'course': 7, 'suppression': 5, 'early': 5, 'plan': 7, 'right': 13, 'ship': 6, 'vessel': 7, 'peace': 5, 'however': 7, 'thought': 9, 'founded': 6, 'would': 22, 'protection': 6, 'also': 6, 'point': 6, 'presumed': 6, 'world': 6, 'new': 8, 'sentiment': 6, 'consideration': 6, 'policy': 8, 'independence': 7, 'important': 10, 'equal': 7, 'coast': 9, 'sea': 10, 'Spain': 7, 'information': 6, 'There': 6, 'residing': 5, 'formed': 5, 'attention': 9, 'maritime': 5, 'establishment': 7, 'extent': 8, 'various': 7, 'could': 6, 'well': 11, 'million': 9, 'sum': 5, 'debt': 9, 'next': 5, 'amount': 5, 'meet': 5, 'order': 5, 'high': 8, 'estimate': 5, 'necessary': 7, 'expense': 6, 'officer': 7, 'military': 9, 'branch': 9, 'duty': 11, 'much': 8, 'improvement': 11, 'kind': 5, 'corp': 6, 'To': 9, 'service': 7, 'require': 6, 'execution': 6, 'survey': 5, 'employed': 5, 'route': 5, 'season': 5, 'taken': 6, 'tribe': 12, 'civilized': 6, 'neighbor': 5}"
