year,oil,college,gun,border,terrorism,immigration,economy,crime,abortion,housing,healthcare,refugees,war,climate,military,law enforcement,racism,energy,inflation,deficit,debt,farmers,election,business,women,children,retirement,diplomacy,workforce,internet,satellite,transportation,freedom,hope,equality,liberty,diaspora,minorties,religion,faith,police,racism,veterans,weapons,taxes,infrastructure,trade,benefits,nuclear,students
1863,0,0,0,0,0,1,0,0,0,0,0,0,13,0,9,0,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,2,0,0,0,0,0,0,5,2,0,0
1864,0,0,0,3,0,1,0,0,0,0,0,0,19,0,5,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,2,0,0,0
1865,0,0,0,1,0,0,3,2,0,0,0,0,15,2,8,0,0,2,0,0,7,0,0,4,0,0,0,0,0,0,0,0,7,4,0,5,0,0,2,4,0,0,0,0,1,0,1,0,0,0
1866,0,0,0,0,0,0,1,2,0,0,0,0,15,0,8,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,2,2,2,0,0,0,4,0,0,0,0,1,0,2,1,0,0
1867,0,0,0,0,0,0,4,2,0,0,0,0,24,0,15,0,0,1,0,0,7,0,0,3,0,3,0,0,0,0,0,0,2,2,1,6,0,0,0,7,0,0,0,0,1,0,8,0,0,0
1868,0,0,0,0,0,0,5,0,0,0,0,0,24,0,5,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,1,5,0,2,0,0,0,2,0,0,0,0,1,0,6,1,0,0
1869,0,0,0,0,0,0,1,0,0,0,0,0,9,2,3,0,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,1,2,4,0,2,0,0,1,4,0,0,0,0,1,0,6,2,0,0
1870,0,2,0,0,0,0,1,0,0,0,0,0,9,1,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,2,1,5,0,1,0,0,0,2,2,0,0,0,1,0,10,1,0,0
1871,0,0,1,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,2,0,0,2,1,4,0,0,0,0,0,0,2,3,2,1,0,0,2,0,0,0,0,0,1,0,1,2,0,0
1872,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1873,0,1,0,0,0,1,3,0,0,0,0,0,8,0,4,0,0,0,4,0,3,0,0,7,1,3,0,0,0,0,0,4,2,4,0,3,0,0,0,0,0,0,0,0,0,0,7,2,0,0
1874,0,0,0,0,0,0,1,2,0,0,0,0,3,1,2,0,0,0,0,0,7,0,0,11,2,1,0,0,0,0,0,1,1,2,0,0,0,0,0,5,0,0,0,0,0,0,4,3,0,0
1875,0,0,0,0,0,0,1,2,0,0,0,0,11,1,2,0,0,1,1,0,2,0,0,6,3,3,0,0,0,0,0,1,0,5,0,0,0,0,0,2,0,0,0,1,2,0,2,1,0,0
1876,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
1877,0,0,0,7,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,11,0,0,5,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,6,0,0,0,0,5,0,10,1,0,0
1878,0,1,0,2,0,0,1,0,0,0,0,0,1,2,2,0,0,0,0,0,5,0,0,6,0,4,0,0,0,0,0,0,4,1,1,1,0,0,0,1,0,0,0,0,0,0,3,1,0,0
1879,0,0,0,4,0,0,2,3,0,0,0,0,3,0,8,0,0,0,0,0,6,0,0,8,0,2,1,0,0,0,0,1,4,1,2,1,0,0,1,0,0,0,0,0,0,0,8,0,0,0
1880,0,0,0,2,0,2,1,1,0,0,0,0,5,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,1,0,0,0,0,0,0,13,0,0,0
